depth	age	error	dR	dSTD	cc
0.01	1.235	0.015	0	0.2	2
0.09	5.81	0.015	0	0.2	2
0.13	7.53	0.02	0	0.2	2
0.17	8.8	0.025	0	0.2	2
0.25	10.39	0.02	0	0.2	2
0.33	12.475	0.035	0	0.2	2
0.37	12.685	0.035	0	0.2	2
0.45	13.435	0.04	0	0.2	2
0.49	13.785	0.035	0	0.2	2
0.59	14.085	0.054	0	0.2	2
0.89	14.96	0.06	0	0.2	2
0.97	15.04	0.07	0	0.2	2
1.05	15.36	0.05	0	0.2	2
1.15	15.723	0.072	0	0.2	2
1.25	16.16	0.06	0	0.2	2
1.37	16.7	0.07	0	0.2	2
1.53	16.99	0.06	0	0.2	2
